UTC Time, X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity, HDOP, Lat, Lon, Alt (Elipsoide), Alt (AMSL), Speed, Course, Estimated Horizontal Positioning Error, Estimated Vertical Positioning Error, Estimated Horizontal Velocity Error, Clock Bias, Clock Bias Error, Clock Drift, Clock Drift Error, EXTENDED GPS Week, GPS TOW, SVs number, Clock Drift 7, Clock Bias 7, Estimated GPS Time, PRN, GPS Software Time, Azimuth, Elevation, State, X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity, Pseudorange, C/No 1, C/No 2,  C/No 3, C/No 4, C/No 5, C/No 6, C/No 7, C/No 8, C/No 9, C/No 10, Carrier Frequency, Carrier Phase, Delta Range Interval, Mean Delta Range Time, Clock Bias, Clock Drift, Ionospheric Delay, Filtered C/No Max, Filtered C/No Min, Filtered C/No Delta, Check
201569144426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.30778194E8,0.0,1831539.0,0,1848.0,225882.42,0,96248.0,4362291.0,2.25882421E8,76,225882.42096429778,0.0,0.0,0,1.3539504147897782E7,-3160153.62762026,2.1318609199819576E7,2515.986443387678,1513.1305585501511,-1378.618352658369,2.2164002825714782E7,0,0,0,0,0,0,0,0,0,0,17657.006,2.2164002825714782E7,0.0,0.0,0.0,0.0,0.0,38,38,0,End,
201569144426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.30778194E8,0.0,1831539.0,0,1848.0,225882.42,0,96248.0,4362291.0,2.25882421E8,77,225882.42096429778,0.0,0.0,0,2.2483034905941274E7,9474207.798637325,7620177.60535495,1012.960524064997,336.96034420035465,-3398.9308076827033,2.3465169717241704E7,0,0,0,0,0,0,0,0,0,0,18512.361,2.3465169717241704E7,0.0,0.0,0.0,0.0,0.0,41,41,0,End,
201569144426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.30778194E8,0.0,1831539.0,0,1848.0,225882.42,0,96248.0,4362291.0,2.25882421E8,78,225882.42096429778,51.0,14.0,37,-8784949.085972467,1.6002986558339162E7,1.7815061908648238E7,133.37714738763438,-2436.2041814915174,2256.4887652455413,2.1451659259585682E7,38,38,38,38,38,38,38,37,37,37,18240.723,2.1451659259585682E7,0.0,0.0,0.0,0.0,0.0,38,37,-1,End,
201569144426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.30778194E8,0.0,1831539.0,0,1848.0,225882.42,0,96248.0,4362291.0,2.25882421E8,79,225882.42096429778,51.0,8.0,37,-1.1402483145638464E7,1.5242655144894054E7,1.696688723617585E7,-1989.2642322693716,1213.7659577881716,-2424.0075986627935,2.1875786391668465E7,30,30,30,29,29,29,29,29,29,29,18751.25,2.1875786391668465E7,0.0,0.0,0.0,0.0,0.0,30,29,0,End,
201569144426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.30778194E8,0.0,1831539.0,0,1848.0,225882.42,0,96248.0,4362291.0,2.25882421E8,82,225882.42096429778,0.0,0.0,0,6384693.467428388,2.0037239569286022E7,-1.440610519288836E7,90.68329187067106,1982.886103521593,2788.236099929285,2.230592375392047E7,0,0,0,0,0,0,0,0,0,0,17558.033,2.230592375392047E7,0.0,0.0,0.0,0.0,0.0,32,32,0,End,
201569144426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.30778194E8,0.0,1831539.0,0,1848.0,225882.42,0,96248.0,4362291.0,2.25882421E8,20,225882.42096429778,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,2.312959375870447E7,39,39,39,39,39,39,39,39,39,39,17774.191,2.3129607081945714E7,0.0,0.0,0.0,0.0,0.0,39,39,0,End,
201569144426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.30778194E8,0.0,1831539.0,0,1848.0,225882.42,0,96248.0,4362291.0,2.25882421E8,21,225882.42096429778,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,2.328043910344191E7,48,47,47,47,47,47,47,47,47,47,17778.004,2.3280445001615506E7,0.0,0.0,0.0,0.0,0.0,47,47,0,End,
201569144426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.30778194E8,0.0,1831539.0,0,1848.0,225882.42,0,96248.0,4362291.0,2.25882421E8,25,225882.42096429778,245.0,60.0,181,1.6162946333130106E7,1.3389371063477848E7,1.627619112707703E7,533.8911581634098,2010.440653931349,-2154.4819971598076,2.112603700994847E7,47,47,47,47,46,46,46,46,46,46,18163.195,2.1126043292026855E7,0.0,0.0,-3.7996657808947944E-5,-4.1033127E-12,0.0,47,46,1,End,
201569144426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.30778194E8,0.0,1831539.0,0,1848.0,225882.42,0,96248.0,4362291.0,2.25882421E8,29,225882.42096429778,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,2.164967252542326E7,51,51,50,50,50,50,50,50,50,50,18144.383,2.1649680517622985E7,0.0,0.0,0.0,0.0,0.0,50,50,0,End,
201569144426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.30778194E8,0.0,1831539.0,0,1848.0,225882.42,0,96248.0,4362291.0,2.25882421E8,31,225882.42096429778,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,1.8131349814585786E7,38,38,38,37,37,37,37,37,37,37,17934.461,1.8131361235753298E7,0.0,0.0,0.0,0.0,0.0,38,37,1,End,
201569144427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.32609956E8,0.0,1831539.0,0,1848.0,225883.42,0,96248.0,4423392.0,2.25883421E8,2,225883.42102685888,66.0,60.0,181,-3482384.850566056,1.5446631310435427E7,2.1680903066869974E7,-2635.1588031299,-464.6571040375263,-138.5892677956225,1.816351250285418E7,43,43,43,43,43,42,42,42,42,42,18742.453,1.816351573986957E7,0.0,0.0,5.710869697709178E-4,6.0257407E-12,0.0,43,43,0,End,
201569144427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.32609956E8,0.0,1831539.0,0,1848.0,225883.42,0,96248.0,4423392.0,2.25883421E8,5,225883.42102685888,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,2.355249444585895E7,46,46,45,45,45,45,45,45,45,45,18071.869,2.355250319714315E7,0.0,0.0,0.0,0.0,0.0,45,45,0,End,
201569144427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.32609956E8,0.0,1831539.0,0,1848.0,225883.42,0,96248.0,4423392.0,2.25883421E8,70,225883.42102685888,158.0,27.0,37,1.7015156120964732E7,1.6160519731388448E7,-9940282.48386832,-1030.2963778838366,-914.0038133309891,-3266.403387547339,2.2971634946131855E7,34,34,34,34,33,33,33,33,33,33,19016.246,2.2971634946131855E7,0.0,0.0,0.0,0.0,0.0,34,33,0,End,
